Treatment,Nitrogen_Applied_kg_ha,Yield_Simulated_kg_ha,Biomass_Simulated_kg_ha,Harvest_Index_Simulated,Grain_Weight_Simulated_mg,Grain_Number_Simulated,Grain_Nitrogen_Simulated_kg_ha,Yield_Observed_kg_ha,Yield_Observed_Std,Yield_Observed_n,Grain_Weight_Observed_mg,Grain_Weight_Observed_Std,Grain_Nitrogen_Observed_kg_ha,Grain_Nitrogen_Observed_Std,Harvest_Date_Observed,Yield_Difference_kg_ha,Yield_Error_Percent,Grain_Weight_Difference_mg,Grain_Weight_Error_Percent,Grain_Nitrogen_Difference_kg_ha,Grain_Nitrogen_Error_Percent
1,120,5951.0,12584.0,0.473,38.0,15668.0,115.8,6716.75,509.40081222942706,4,43.25,1.299038105676658,149.0,11.640446726822816,15237,-765.75,-11.400602970186474,-5.25,-12.138728323699421,-33.2,-22.281879194630875
2,120,5953.0,12587.0,0.473,38.0,15679.0,115.9,7270.75,539.7922632828299,4,43.5,1.118033988749895,168.5,18.445866745696716,15237,-1317.75,-18.123989959770313,-5.5,-12.643678160919542,-52.599999999999994,-31.21661721068249
3,40,3602.0,6686.0,0.539,44.4,8118.0,67.1,7282.5,569.9866226500408,4,42.5,0.5,160.5,23.66960075708925,15237,-3680.5,-50.53896326810848,1.8999999999999986,4.470588235294114,-93.4,-58.19314641744548
4,120,5953.0,12563.0,0.474,38.1,15646.0,115.4,7165.0,240.54417473719874,4,41.5,2.0615528128088303,149.5,8.200609733428363,15237,-1212.0,-16.9155617585485,-3.3999999999999986,-8.192771084337345,-34.099999999999994,-22.80936454849498
5,120,6268.0,13748.0,0.456,37.2,16862.0,136.4,7176.75,118.1807408167676,4,42.75,0.82915619758885,153.0,3.082207001484488,15237,-908.75,-12.662416832131537,-5.549999999999997,-12.98245614035087,-16.599999999999994,-10.849673202614376
6,120,5879.0,12359.0,0.476,38.0,15450.0,113.3,6469.25,605.260016439216,4,41.5,0.5,110.25,65.88009942311866,15237,-590.25,-9.123932449665727,-3.5,-8.433734939759036,3.049999999999997,2.7664399092970493
7,120,6269.0,13753.0,0.456,37.2,16861.0,129.1,7874.5,213.36529708460088,4,43.25,0.4330127018922193,174.25,13.045593125649749,15237,-1605.5,-20.38859610133977,-6.049999999999997,-13.988439306358375,-45.150000000000006,-25.911047345767578
8,180,6418.0,14773.0,0.434,35.6,18020.0,155.0,7875.75,445.78771573474296,4,42.5,0.5,191.25,14.872373717735847,15237,-1457.75,-18.509348316033396,-6.899999999999999,-16.235294117647054,-36.25,-18.954248366013072
9,180,6411.0,14784.0,0.434,35.5,18062.0,155.3,8177.0,653.097619043279,4,42.5,0.5,206.75,20.314711418083203,15237,-1766.0,-21.597162773633364,-7.0,-16.470588235294116,-51.44999999999999,-24.885126964933487
10,60,3602.0,6686.0,0.539,44.4,8118.0,67.3,7691.25,682.3241073712697,4,43.0,1.5811388300841898,195.75,16.48294573187693,15237,-4089.25,-53.16756053957419,1.3999999999999986,3.2558139534883686,-128.45,-65.61941251596424
11,180,6418.0,14773.0,0.434,35.6,18020.0,155.0,7766.5,351.004629599098,4,43.0,0.7071067811865476,184.75,16.78354849249705,15237,-1348.5,-17.363033541492307,-7.399999999999999,-17.20930232558139,-29.75,-16.102841677943168
12,180,6415.0,14750.0,0.435,35.6,18011.0,154.5,7662.5,457.56447633093194,4,42.5,0.5,181.25,23.509306667785847,15237,-1247.5,-16.28058727569331,-6.899999999999999,-16.235294117647054,-26.75,-14.758620689655173
13,180,6327.0,14218.0,0.445,36.3,17407.0,146.1,7428.75,703.8911048592673,4,42.25,0.82915619758885,184.25,23.594225988576103,15237,-1101.75,-14.830893488137303,-5.950000000000003,-14.082840236686398,-38.150000000000006,-20.705563093622796
14,180,6232.0,13722.0,0.454,36.9,16876.0,140.7,8204.25,212.39865230269234,4,43.25,0.4330127018922193,200.75,11.776565713313877,15237,-1972.25,-24.03936983880306,-6.350000000000001,-14.682080924855494,-60.05000000000001,-29.912826899128277
15,0,3601.0,6686.0,0.539,44.4,8118.0,60.8,3467.375,327.87723979410345,8,42.0,2.0615528128088303,71.5,10.222524150130436,15237,133.625,3.8537798767078844,2.3999999999999986,5.714285714285711,-10.700000000000003,-14.965034965034969
